Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Tillikum,Friday Harbor,Lopez,06:05,06:05,06:45,04/18/2024,
Tillikum,Lopez,Shaw,06:55,06:55,07:15,04/18/2024,
Tillikum,Shaw,Orcas,07:15,07:21,07:29,04/18/2024,
Tillikum,Orcas,Friday Harbor,07:35,07:38,08:28,04/18/2024,
Tillikum,Friday Harbor,Orcas,08:30,08:41,09:25,04/18/2024,
Tillikum,Orcas,Shaw,09:15,09:34,09:41,04/18/2024,
Tillikum,Shaw,Lopez,09:30,09:47,10:06,04/18/2024,
Tillikum,Lopez,Shaw,09:55,10:15,10:34,04/18/2024,
Tillikum,Shaw,Orcas,10:15,10:41,10:49,04/18/2024,
Tillikum,Orcas,Friday Harbor,10:35,10:56,11:42,04/18/2024,
Tillikum,Friday Harbor,Shaw,11:35,11:53,12:36,04/18/2024,
Tillikum,Shaw,Orcas,12:20,12:43,12:56,04/18/2024,
Tillikum,Orcas,Lopez,12:40,13:04,13:26,04/18/2024,
Tillikum,Lopez,Friday Harbor,13:05,13:32,14:13,04/18/2024,
Tillikum,Friday Harbor,Orcas,14:20,14:25,15:06,04/18/2024,
Tillikum,Orcas,Shaw,15:10,15:12,15:19,04/18/2024,
Tillikum,Shaw,Lopez,15:25,15:25,15:42,04/18/2024,
Tillikum,Lopez,Shaw,15:50,15:53,16:11,04/18/2024,
Tillikum,Shaw,Orcas,16:10,16:19,16:27,04/18/2024,
Tillikum,Orcas,Friday Harbor,16:30,16:37,17:23,04/18/2024,
Tillikum,Friday Harbor,Orcas,17:45,17:45,18:26,04/18/2024,
Tillikum,Orcas,Shaw,18:45,18:45,18:52,04/18/2024,
Tillikum,Shaw,Lopez,19:00,19:00,19:17,04/18/2024,
Tillikum,Lopez,Shaw,19:30,19:30,19:51,04/18/2024,
Tillikum,Shaw,Orcas,19:50,19:56,20:17,04/18/2024,
Tillikum,Orcas,Friday Harbor,20:05,20:23,21:10,04/18/2024,
Tillikum,Friday Harbor,Lopez,06:05,06:07,06:43,04/19/2024,
Tillikum,Lopez,Shaw,06:55,06:56,07:16,04/19/2024,
Tillikum,Shaw,Orcas,07:15,07:21,07:29,04/19/2024,
Tillikum,Orcas,Friday Harbor,07:35,07:39,08:26,04/19/2024,
Tillikum,Friday Harbor,Orcas,08:30,08:37,09:10,04/19/2024,
Tillikum,Orcas,Shaw,09:15,09:18,09:26,04/19/2024,
Tillikum,Shaw,Lopez,09:30,09:31,09:49,04/19/2024,
Tillikum,Lopez,Shaw,09:55,09:57,10:17,04/19/2024,
Tillikum,Shaw,Orcas,10:15,10:21,10:29,04/19/2024,
Tillikum,Orcas,Friday Harbor,10:35,10:38,11:24,04/19/2024,
Tillikum,Friday Harbor,Shaw,11:35,11:38,12:15,04/19/2024,
Tillikum,Shaw,Orcas,12:20,12:20,12:32,04/19/2024,
Tillikum,Orcas,Lopez,12:40,12:42,13:06,04/19/2024,
Tillikum,Lopez,Friday Harbor,13:05,13:14,13:55,04/19/2024,
Tillikum,Friday Harbor,Orcas,14:20,14:24,15:25,04/19/2024,
Tillikum,Orcas,Shaw,15:10,15:36,15:45,04/19/2024,
Tillikum,Shaw,Lopez,15:25,15:49,16:07,04/19/2024,
Tillikum,Lopez,Shaw,15:50,16:15,16:33,04/19/2024,
Tillikum,Orcas,Friday Harbor,16:30,16:53,17:39,04/19/2024,
Tillikum,Shaw,Orcas,16:35,16:39,16:46,04/19/2024,
Tillikum,Friday Harbor,Orcas,17:45,17:50,18:33,04/19/2024,
Tillikum,Orcas,Shaw,18:45,18:45,18:52,04/19/2024,
Tillikum,Shaw,Lopez,19:00,19:00,19:24,04/19/2024,
Tillikum,Lopez,Shaw,19:30,19:31,19:52,04/19/2024,
Tillikum,Shaw,Orcas,19:50,20:00,20:12,04/19/2024,
Tillikum,Orcas,Friday Harbor,20:05,20:23,21:08,04/19/2024,
Tillikum,Friday Harbor,Anacortes,20:50,21:20,22:41,04/19/2024,
Tillikum,Anacortes,Lopez,23:30,23:51,00:46,04/19/2024,
Tillikum,Lopez,Orcas,00:25,00:49,01:10,04/20/2024,
Tillikum,Orcas,Friday Harbor,00:55,01:16,01:57,04/20/2024,
Tillikum,Friday Harbor,Lopez,06:05,06:05,06:45,04/20/2024,
Tillikum,Lopez,Shaw,06:55,06:54,07:14,04/20/2024,
Tillikum,Shaw,Orcas,07:15,07:17,07:25,04/20/2024,
Tillikum,Orcas,Friday Harbor,07:35,07:35,08:20,04/20/2024,
Tillikum,Friday Harbor,Orcas,08:30,08:30,09:13,04/20/2024,
Tillikum,Orcas,Shaw,09:15,09:19,09:26,04/20/2024,
Tillikum,Shaw,Lopez,09:30,09:30,09:49,04/20/2024,
Tillikum,Lopez,Shaw,09:55,09:58,10:16,04/20/2024,
Tillikum,Shaw,Orcas,10:15,10:22,10:30,04/20/2024,
Tillikum,Orcas,Friday Harbor,10:35,10:39,11:26,04/20/2024,
Tillikum,Friday Harbor,Shaw,11:35,11:39,12:21,04/20/2024,
Tillikum,Shaw,Orcas,12:20,12:27,12:34,04/20/2024,
Tillikum,Orcas,Lopez,12:40,12:43,13:02,04/20/2024,
Tillikum,Lopez,Friday Harbor,13:05,13:08,13:48,04/20/2024,
Tillikum,Friday Harbor,Orcas,14:20,14:20,15:04,04/20/2024,
Tillikum,Orcas,Shaw,15:10,15:11,15:20,04/20/2024,
Tillikum,Shaw,Lopez,15:25,15:25,15:45,04/20/2024,
Tillikum,Lopez,Shaw,15:50,15:53,16:11,04/20/2024,
Tillikum,Shaw,Orcas,16:10,16:14,16:22,04/20/2024,
Tillikum,Orcas,Friday Harbor,16:30,16:31,17:16,04/20/2024,
Tillikum,Friday Harbor,Orcas,17:45,17:45,18:31,04/20/2024,
Tillikum,Orcas,Shaw,18:45,18:45,18:53,04/20/2024,
Tillikum,Shaw,Lopez,19:00,19:00,19:18,04/20/2024,
Tillikum,Lopez,Shaw,19:30,19:30,19:48,04/20/2024,
Tillikum,Shaw,Orcas,19:50,19:51,20:07,04/20/2024,
Tillikum,Orcas,Friday Harbor,20:05,20:13,20:52,04/20/2024,
Tillikum,Friday Harbor,Lopez,06:05,06:09,06:46,04/21/2024,
Tillikum,Lopez,Shaw,06:55,06:55,07:14,04/21/2024,
Tillikum,Shaw,Orcas,07:15,07:17,07:25,04/21/2024,
Tillikum,Orcas,Friday Harbor,07:35,07:35,08:21,04/21/2024,
Tillikum,Friday Harbor,Orcas,08:30,08:30,09:11,04/21/2024,
Tillikum,Orcas,Shaw,09:15,09:16,09:24,04/21/2024,
Tillikum,Shaw,Lopez,09:30,09:30,09:48,04/21/2024,
Tillikum,Lopez,Shaw,09:55,09:55,10:13,04/21/2024,
Tillikum,Shaw,Orcas,10:15,10:17,10:25,04/21/2024,
Tillikum,Orcas,Friday Harbor,10:35,10:35,11:23,04/21/2024,
Tillikum,Friday Harbor,Shaw,11:35,11:35,12:20,04/21/2024,
Tillikum,Shaw,Orcas,12:20,12:23,12:31,04/21/2024,
Tillikum,Orcas,Lopez,12:40,12:41,13:03,04/21/2024,
Tillikum,Lopez,Friday Harbor,13:05,13:08,13:50,04/21/2024,
Tillikum,Friday Harbor,Lopez,14:15,14:20,14:59,04/21/2024,
Tillikum,Lopez,Anacortes,15:05,15:09,16:02,04/21/2024,
Tillikum,Friday Harbor,Orcas,17:45,17:36,18:28,04/21/2024,
Tillikum,Orcas,Shaw,18:45,18:45,18:52,04/21/2024,
Tillikum,Shaw,Lopez,19:00,18:59,19:17,04/21/2024,
Tillikum,Lopez,Shaw,19:30,19:31,19:50,04/21/2024,
Tillikum,Shaw,Orcas,19:50,19:54,20:02,04/21/2024,
Tillikum,Orcas,Friday Harbor,20:05,20:07,20:57,04/21/2024,
Tillikum,Friday Harbor,Lopez,06:05,06:07,06:47,04/22/2024,
Tillikum,Lopez,Shaw,06:55,06:55,07:16,04/22/2024,
Tillikum,Shaw,Orcas,07:15,07:19,07:29,04/22/2024,
Tillikum,Orcas,Friday Harbor,07:35,07:36,08:30,04/22/2024,
Tillikum,Friday Harbor,Orcas,08:30,08:40,09:23,04/22/2024,
Tillikum,Orcas,Shaw,09:15,09:30,09:38,04/22/2024,
Tillikum,Shaw,Lopez,09:30,09:42,10:01,04/22/2024,
Tillikum,Lopez,Shaw,09:55,10:11,10:31,04/22/2024,
Tillikum,Shaw,Orcas,10:15,10:35,10:44,04/22/2024,
Tillikum,Orcas,Friday Harbor,10:35,10:56,11:42,04/22/2024,
Tillikum,Friday Harbor,Shaw,11:35,11:58,12:37,04/22/2024,
Tillikum,Shaw,Orcas,12:20,12:41,12:49,04/22/2024,
Tillikum,Orcas,Lopez,12:40,12:55,13:14,04/22/2024,
Tillikum,Friday Harbor,Orcas,14:20,14:33,15:16,04/22/2024,
Tillikum,Orcas,Shaw,15:10,15:23,15:30,04/22/2024,
Tillikum,Shaw,Lopez,15:25,15:36,15:55,04/22/2024,
Tillikum,Lopez,Shaw,15:50,16:02,16:20,04/22/2024,
Tillikum,Shaw,Orcas,16:10,16:25,16:33,04/22/2024,
Tillikum,Orcas,Friday Harbor,16:30,16:42,17:26,04/22/2024,
Tillikum,Friday Harbor,Orcas,17:45,17:45,18:29,04/22/2024,
Tillikum,Orcas,Shaw,18:45,18:49,18:56,04/22/2024,
Tillikum,Shaw,Lopez,19:00,19:00,19:19,04/22/2024,
Tillikum,Lopez,Shaw,19:30,19:30,19:47,04/22/2024,
Tillikum,Shaw,Orcas,19:50,19:50,20:01,04/22/2024,
Tillikum,Orcas,Friday Harbor,20:05,20:06,20:44,04/22/2024,
Tillikum,Friday Harbor,Lopez,06:05,06:07,06:50,04/23/2024,
Tillikum,Lopez,Shaw,06:55,07:02,07:22,04/23/2024,
Tillikum,Shaw,Orcas,07:15,07:27,07:36,04/23/2024,
Tillikum,Orcas,Friday Harbor,07:35,07:46,08:33,04/23/2024,
Tillikum,Friday Harbor,Orcas,08:30,08:47,09:29,04/23/2024,
Tillikum,Orcas,Shaw,09:15,09:37,09:45,04/23/2024,
Tillikum,Shaw,Lopez,09:30,09:49,10:07,04/23/2024,
Tillikum,Lopez,Shaw,09:55,10:16,10:36,04/23/2024,
Tillikum,Shaw,Orcas,10:15,10:38,10:48,04/23/2024,
Tillikum,Orcas,Friday Harbor,10:35,10:55,11:42,04/23/2024,
Tillikum,Friday Harbor,Shaw,11:35,11:53,12:37,04/23/2024,
Tillikum,Shaw,Orcas,12:20,12:42,12:49,04/23/2024,
Tillikum,Orcas,Lopez,12:40,12:59,13:19,04/23/2024,
Tillikum,Lopez,Friday Harbor,13:05,13:27,14:10,04/23/2024,
Tillikum,Friday Harbor,Orcas,14:20,14:20,15:03,04/23/2024,
Tillikum,Orcas,Shaw,15:10,15:10,15:18,04/23/2024,
Tillikum,Shaw,Lopez,15:25,15:24,15:43,04/23/2024,
Tillikum,Lopez,Shaw,15:50,15:55,16:16,04/23/2024,
Tillikum,Shaw,Orcas,16:10,16:21,16:28,04/23/2024,
Tillikum,Orcas,Friday Harbor,16:30,16:39,17:25,04/23/2024,
Tillikum,Friday Harbor,Orcas,17:45,17:45,18:25,04/23/2024,
Tillikum,Orcas,Shaw,18:45,18:45,18:53,04/23/2024,
Tillikum,Shaw,Lopez,19:00,18:59,19:18,04/23/2024,
Tillikum,Lopez,Shaw,19:30,19:31,19:51,04/23/2024,
Tillikum,Shaw,Orcas,19:50,19:55,20:05,04/23/2024,
Tillikum,Orcas,Friday Harbor,20:05,20:10,21:08,04/23/2024,
Tillikum,Friday Harbor,Lopez,06:05,06:07,06:44,04/24/2024,
Tillikum,Lopez,Shaw,06:55,06:54,07:14,04/24/2024,
Tillikum,Shaw,Orcas,07:15,07:19,07:27,04/24/2024,
Tillikum,Orcas,Friday Harbor,07:35,07:41,08:19,04/24/2024,
Tillikum,Friday Harbor,Orcas,08:30,08:34,09:16,04/24/2024,
Tillikum,Orcas,Shaw,09:15,09:24,09:32,04/24/2024,
Tillikum,Shaw,Lopez,09:30,09:37,09:55,04/24/2024,
Tillikum,Lopez,Shaw,09:55,10:08,10:23,04/24/2024,
Tillikum,Shaw,Orcas,10:15,10:29,10:37,04/24/2024,
Tillikum,Orcas,Friday Harbor,10:35,10:47,11:33,04/24/2024,
Tillikum,Friday Harbor,Shaw,11:35,11:42,12:20,04/24/2024,
