Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Salish,Tahlequah,Pt. Defiance,06:20,06:23,06:34,07/10/2024,
Salish,Pt. Defiance,Tahlequah,06:45,06:48,06:58,07/10/2024,
Salish,Tahlequah,Pt. Defiance,07:10,07:12,07:23,07/10/2024,
Salish,Pt. Defiance,Tahlequah,07:35,07:41,07:51,07/10/2024,
Salish,Tahlequah,Pt. Defiance,08:00,08:09,08:23,07/10/2024,
Salish,Pt. Defiance,Tahlequah,08:25,08:50,08:59,07/10/2024,
Salish,Tahlequah,Pt. Defiance,08:50,09:17,09:23,07/10/2024,
Salish,Pt. Defiance,Tahlequah,09:15,09:34,09:42,07/10/2024,
Salish,Tahlequah,Pt. Defiance,09:40,10:07,10:18,07/10/2024,
Salish,Pt. Defiance,Tahlequah,10:05,10:36,10:46,07/10/2024,
Salish,Tahlequah,Pt. Defiance,10:30,11:05,11:15,07/10/2024,
Salish,Pt. Defiance,Tahlequah,10:55,11:34,11:44,07/10/2024,
Salish,Tahlequah,Pt. Defiance,11:20,12:03,12:14,07/10/2024,
Salish,Pt. Defiance,Tahlequah,11:45,12:31,12:42,07/10/2024,
Salish,Tahlequah,Pt. Defiance,12:10,13:01,13:11,07/10/2024,
Salish,Pt. Defiance,Tahlequah,13:40,13:41,13:52,07/10/2024,
Salish,Tahlequah,Pt. Defiance,14:10,14:11,14:23,07/10/2024,
Salish,Pt. Defiance,Tahlequah,14:40,14:41,14:53,07/10/2024,
Salish,Tahlequah,Pt. Defiance,15:10,15:13,15:23,07/10/2024,
Salish,Pt. Defiance,Tahlequah,15:40,15:41,15:52,07/10/2024,
Salish,Tahlequah,Pt. Defiance,16:05,16:10,16:22,07/10/2024,
Salish,Pt. Defiance,Tahlequah,16:35,16:38,16:50,07/10/2024,
Salish,Tahlequah,Pt. Defiance,17:00,17:08,17:20,07/10/2024,
Salish,Pt. Defiance,Tahlequah,17:30,17:38,17:49,07/10/2024,
Salish,Tahlequah,Pt. Defiance,18:00,18:08,18:20,07/10/2024,
Salish,Pt. Defiance,Tahlequah,18:30,18:36,18:47,07/10/2024,
Salish,Tahlequah,Pt. Defiance,19:00,19:03,19:15,07/10/2024,
Salish,Pt. Defiance,Tahlequah,19:25,19:28,19:39,07/10/2024,
Salish,Tahlequah,Pt. Defiance,20:00,20:01,20:13,07/10/2024,
Salish,Pt. Defiance,Tahlequah,20:25,20:26,20:37,07/10/2024,
Salish,Tahlequah,Pt. Defiance,21:00,21:01,21:13,07/10/2024,
Salish,Pt. Defiance,Tahlequah,21:30,21:31,21:42,07/10/2024,
Salish,Tahlequah,Pt. Defiance,22:00,22:02,22:14,07/10/2024,
Salish,Pt. Defiance,Tahlequah,22:30,22:32,22:43,07/10/2024,
Salish,Tahlequah,Pt. Defiance,22:55,22:58,23:09,07/10/2024,
Salish,Pt. Defiance,Tahlequah,06:45,06:46,06:56,07/11/2024,
Salish,Tahlequah,Pt. Defiance,07:10,07:14,07:25,07/11/2024,
